collected_at,chzzk_id,name_ko,name_en,unit,role,followers,status,is_live,concurrent_users,accumulate_count,live_title,category,tags,last_concurrent_users
2026-08-12T07:22:12.133657+00:00,b5ed5db484d04faf4d150aedd362f34b,강지,Kangji,STELLIVE,founder,287157,CLOSE,False,,,,,,1665
2026-08-12T07:22:12.133657+00:00,45e71a76e949e16a34764deb962f9d9f,아야츠노 유니,Ayatsuno Yuni,EVERYS,talent,301924,CLOSE,False,,,,,,2580
2026-08-12T07:22:12.133657+00:00,36ddb9bb4f17593b60f1b63cec86611d,사키하네 후야,Sakihane Huya,EVERYS,talent,156747,OPEN,True,1591,0,오 케 마 루,talk,스텔라이브|에버리스|통통꼬리,
2026-08-12T07:22:12.133657+00:00,b044e3a3b9259246bc92e863e7d3f3b8,시라유키 히나,Shirayuki Hina,UNIVERSE,talent,236847,CLOSE,False,,,,,,2448
2026-08-12T07:22:12.133657+00:00,4515b179f86b67b4981e16190817c580,네네코 마시로,Neneko Mashiro,UNIVERSE,talent,209823,OPEN,True,2891,0,피크 신맵 출시,피크,스텔라이브|네네코마시로|밍,
2026-08-12T07:22:12.133657+00:00,4325b1d5bbc321fad3042306646e2e50,아카네 리제,Akane Lize,UNIVERSE,talent,252901,CLOSE,False,,,,,,2497
2026-08-12T07:22:12.133657+00:00,a6c4ddb09cdb160478996007bff35296,아라하시 타비,Arahashi Tabi,UNIVERSE,talent,255327,CLOSE,False,,,,,,3477
2026-08-12T07:22:12.133657+00:00,64d76089fba26b180d9c9e48a32600d9,텐코 시부키,Tenko Shibuki,CLICHE,talent,241119,CLOSE,False,,,,,,3795
2026-08-12T07:22:12.133657+00:00,516937b5f85cbf2249ce31b0ad046b0f,아오쿠모 린,Aokumo Rin,CLICHE,talent,219108,CLOSE,False,,,,,,2823
2026-08-12T07:22:12.133657+00:00,4d812b586ff63f8a2946e64fa860bbf5,하나코 나나,Hanako Nana,CLICHE,talent,207432,OPEN,True,2216,0,휴 일상편이 제일 힘들다,talk,스텔라이브|나나|하나코나나|클리셰,
2026-08-12T07:22:12.133657+00:00,8fd39bb8de623317de90654718638b10,유즈하 리코,Yuzuha Riko,CLICHE,talent,209340,CLOSE,False,,,,,,2307
2026-08-12T07:28:07.962514+00:00,b5ed5db484d04faf4d150aedd362f34b,강지,Kangji,STELLIVE,founder,287158,CLOSE,False,,,,,,1665
2026-08-12T07:28:07.962514+00:00,45e71a76e949e16a34764deb962f9d9f,아야츠노 유니,Ayatsuno Yuni,EVERYS,talent,301924,CLOSE,False,,,,,,2580
2026-08-12T07:28:07.962514+00:00,36ddb9bb4f17593b60f1b63cec86611d,사키하네 후야,Sakihane Huya,EVERYS,talent,156749,OPEN,True,1693,0,레미엘 아리아 데려오기,젠레스 존 제로,스텔라이브|에버리스|통통꼬리,
2026-08-12T07:28:07.962514+00:00,b044e3a3b9259246bc92e863e7d3f3b8,시라유키 히나,Shirayuki Hina,UNIVERSE,talent,236848,CLOSE,False,,,,,,2448
2026-08-12T07:28:07.962514+00:00,4515b179f86b67b4981e16190817c580,네네코 마시로,Neneko Mashiro,UNIVERSE,talent,209826,OPEN,True,2936,0,피크 신맵 출시,피크,스텔라이브|네네코마시로|밍,
2026-08-12T07:28:07.962514+00:00,4325b1d5bbc321fad3042306646e2e50,아카네 리제,Akane Lize,UNIVERSE,talent,252902,CLOSE,False,,,,,,2497
2026-08-12T07:28:07.962514+00:00,a6c4ddb09cdb160478996007bff35296,아라하시 타비,Arahashi Tabi,UNIVERSE,talent,255328,CLOSE,False,,,,,,3477
2026-08-12T07:28:07.962514+00:00,64d76089fba26b180d9c9e48a32600d9,텐코 시부키,Tenko Shibuki,CLICHE,talent,241120,CLOSE,False,,,,,,3795
2026-08-12T07:28:07.962514+00:00,516937b5f85cbf2249ce31b0ad046b0f,아오쿠모 린,Aokumo Rin,CLICHE,talent,219109,CLOSE,False,,,,,,2823
2026-08-12T07:28:07.962514+00:00,4d812b586ff63f8a2946e64fa860bbf5,하나코 나나,Hanako Nana,CLICHE,talent,207434,OPEN,True,2406,0,휴 일상편이 제일 힘들다,talk,스텔라이브|나나|하나코나나|클리셰,
2026-08-12T07:28:07.962514+00:00,8fd39bb8de623317de90654718638b10,유즈하 리코,Yuzuha Riko,CLICHE,talent,209340,CLOSE,False,,,,,,2307
2026-08-12T07:38:13.200593+00:00,b5ed5db484d04faf4d150aedd362f34b,강지,Kangji,STELLIVE,founder,287160,CLOSE,False,,,,,,1665
2026-08-12T07:38:13.200593+00:00,45e71a76e949e16a34764deb962f9d9f,아야츠노 유니,Ayatsuno Yuni,EVERYS,talent,301925,OPEN,True,676,0,"팔척귀신 누나랑 여름휴가를 보내는 공포겜 
",talk,스텔라이브|유니,
2026-08-12T07:38:13.200593+00:00,36ddb9bb4f17593b60f1b63cec86611d,사키하네 후야,Sakihane Huya,EVERYS,talent,156756,OPEN,True,1782,0,레미엘 아리아 데려오기,젠레스 존 제로,스텔라이브|에버리스|통통꼬리,
2026-08-12T07:38:13.200593+00:00,b044e3a3b9259246bc92e863e7d3f3b8,시라유키 히나,Shirayuki Hina,UNIVERSE,talent,236853,CLOSE,False,,,,,,2448
2026-08-12T07:38:13.200593+00:00,4515b179f86b67b4981e16190817c580,네네코 마시로,Neneko Mashiro,UNIVERSE,talent,209830,OPEN,True,3073,0,피크 신맵 출시,피크,스텔라이브|네네코마시로|밍,
2026-08-12T07:38:13.200593+00:00,4325b1d5bbc321fad3042306646e2e50,아카네 리제,Akane Lize,UNIVERSE,talent,252905,CLOSE,False,,,,,,2497
2026-08-12T07:38:13.200593+00:00,a6c4ddb09cdb160478996007bff35296,아라하시 타비,Arahashi Tabi,UNIVERSE,talent,255331,CLOSE,False,,,,,,3477
2026-08-12T07:38:13.200593+00:00,64d76089fba26b180d9c9e48a32600d9,텐코 시부키,Tenko Shibuki,CLICHE,talent,241123,CLOSE,False,,,,,,3795
2026-08-12T07:38:13.200593+00:00,516937b5f85cbf2249ce31b0ad046b0f,아오쿠모 린,Aokumo Rin,CLICHE,talent,219113,CLOSE,False,,,,,,2823
2026-08-12T07:38:13.200593+00:00,4d812b586ff63f8a2946e64fa860bbf5,하나코 나나,Hanako Nana,CLICHE,talent,207445,OPEN,True,2907,0,휴 일상편이 제일 힘들다,talk,스텔라이브|나나|하나코나나|클리셰,
